0.01	0.01	0.34
0.02	0.01	0.34
0.03	0.01	0.34
0.04	0.01	0.35
0.05	0.01	0.37
0.06	0.01	0.38
0.07	0.01	0.38
0.08	0.01	0.39
0.09	0.02	0.41
0.10	0.02	0.42
0.11	0.02	0.44
0.12	0.02	0.43
0.13	0.02	0.42
0.14	0.02	0.44
0.15	0.02	0.45
0.16	0.02	0.46
0.17	0.02	0.48
0.18	0.02	0.48
0.19	0.02	0.49
0.20	0.02	0.51
0.21	0.03	0.53
0.22	0.03	0.55
0.23	0.03	0.55
0.24	0.03	0.58
0.25	0.03	0.59
0.26	0.03	0.60
0.27	0.03	0.62
0.28	0.03	0.61
0.29	0.03	0.65
0.30	0.03	0.70
0.31	0.03	0.74
0.32	0.03	0.75
0.33	0.04	0.74
0.34	0.04	0.77
0.35	0.04	0.79
0.36	0.04	0.82
0.37	0.04	0.86
0.38	0.04	0.92
0.39	0.04	0.92
0.40	0.04	0.91
0.41	0.04	0.96
0.42	0.04	1.00
0.43	0.04	1.00
0.44	0.04	1.05
0.45	0.05	1.09
0.46	0.05	1.11
0.47	0.05	1.14
0.48	0.05	1.16
0.49	0.05	1.19
0.50	0.05	1.23
0.51	0.05	1.29
0.52	0.05	1.32
0.53	0.05	1.33
0.54	0.05	1.40
0.55	0.05	1.45
0.56	0.05	1.50
0.57	0.06	1.54
0.58	0.06	1.60
0.59	0.06	1.66
0.60	0.06	1.71
0.61	0.06	1.76
0.62	0.06	1.84
0.63	0.06	1.91
0.64	0.06	1.98
0.65	0.06	2.06
0.66	0.06	2.13
0.67	0.06	2.21
0.68	0.06	2.30
0.69	0.07	2.39
0.70	0.07	2.46
0.71	0.07	2.52
0.72	0.07	2.58
0.73	0.07	2.63
0.74	0.07	2.67
0.75	0.07	2.72
0.76	0.07	2.78
0.77	0.07	2.81
0.78	0.07	2.86
0.79	0.07	2.92
0.80	0.07	2.94
0.81	0.08	3.00
0.82	0.08	3.07
0.83	0.08	3.13
0.84	0.08	3.20
0.85	0.08	3.26
0.86	0.08	3.35
0.87	0.08	3.48
0.88	0.08	3.61
0.89	0.08	3.68
0.90	0.08	3.72
0.91	0.08	3.77
0.92	0.08	3.77
0.93	0.09	3.78
0.94	0.09	3.87
0.95	0.09	3.96
0.96	0.09	4.04
0.97	0.09	4.09
0.98	0.09	4.14
0.99	0.09	4.18
1.00	0.09	4.23
1.01	0.09	4.31
